Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 10:12:48 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"16581","NJ26SE 7","Innesmill","Stone Circle (Neol/bronze Age)","328950","864070","MORAY","MORAYSHIRE","URQUHART","NJ 2895 6407","http://canmore.org.uk/site/16581",
"17006","NJ40SE 1","Tomnaverie","Recumbent Stone Circle (Neol/bronze Age)","348650","803490","ABERDEENSHIRE","ABERDEENSHIRE","COULL","NJ 4865 0349","http://canmore.org.uk/site/17006",
"17326","NJ44SE 9","Hill Of Milleath","Recumbent Stone Circle (Neol/bronze Age)","346790","842940","ABERDEENSHIRE","ABERDEENSHIRE","CAIRNIE","NJ 4679 4294","http://canmore.org.uk/site/17326",
"17530","NJ51NE 2","Old Keig","Recumbent Stone Circle (Neol/bronze Age)","359650","819390","ABERDEENSHIRE","ABERDEENSHIRE","KEIG","NJ 5965 1939","http://canmore.org.uk/site/17530",
"17588","NJ51SE 2","North Strone","Recumbent Stone Circle (Neol/bronze Age)","358440","813890","ABERDEENSHIRE","ABERDEENSHIRE","ALFORD","NJ 5844 1389","http://canmore.org.uk/site/17588",
"17615","NJ52NE 10","Candle Hill","Cup Marked Stone (Prehistoric), Recumbent Stone Circle (Neol/bronze Age), Roundhouse (Prehistoric)","359910","829970","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 5991 2997","http://canmore.org.uk/site/17615",
"17820","NJ54NE 6","Rothiemay","Recumbent Stone Circle (Neol/bronze Age)","355080","848720","MORAY","BANFFSHIRE","ROTHIEMAY","NJ 5508 4872","http://canmore.org.uk/site/17820",
"17827","NJ54NW 12","The Ringing Stone","Recumbent Stone Circle (Neol/bronze Age)","353160","845640","ABERDEENSHIRE","ABERDEENSHIRE","CAIRNIE","NJ 5316 4564","http://canmore.org.uk/site/17827",
"18001","NJ60NE 3","Midmar Kirk","Graffiti(S) (19-20th Century), Recumbent Stone Circle (Neol/bronze Age)","369940","806493","ABERDEENSHIRE","ABERDEENSHIRE","MIDMAR","NJ 69940 06493","http://canmore.org.uk/site/18001",
"18055","NJ61NW 1","Cothiemuir Wood","Recumbent Stone Circle (Neol/bronze Age)","361711","819809","ABERDEENSHIRE","ABERDEENSHIRE","KEIG","NJ 61711 19809","http://canmore.org.uk/site/18055",
"18074","NJ61SW 3","Tillyfourie","Recumbent Stone Circle (Neol/bronze Age)","364310","813500","ABERDEENSHIRE","ABERDEENSHIRE","MONYMUSK","NJ 6431 1350","http://canmore.org.uk/site/18074",
"18081","NJ62NE 1","Old Rayne","Cup Marked Stone (Prehistoric), Recumbent Stone Circle (Neol/bronze Age)","367980","827980","ABERDEENSHIRE","ABERDEENSHIRE","RAYNE","NJ 6798 2798","http://canmore.org.uk/site/18081",
"18125","NJ62NE 7","Hatton Of Ardoyne","Recumbent Stone Circle (Neol/bronze Age)","365980","826760","ABERDEENSHIRE","ABERDEENSHIRE","OYNE","NJ 6598 2676","http://canmore.org.uk/site/18125",
"18335","NJ64NW 15","Yonder Bognie","Recumbent Stone Circle (Neol/bronze Age)","360060","845770","ABERDEENSHIRE","ABERDEENSHIRE","FORGUE","NJ 6006 4577","http://canmore.org.uk/site/18335",
"18543","NJ70NW 55","Sunhoney","Cup Marked Stone (Prehistoric), Recumbent Stone Circle (Neol/bronze Age)","371592","805701","ABERDEENSHIRE","ABERDEENSHIRE","MIDMAR","NJ 71592 05701","http://canmore.org.uk/site/18543",
"18719","NJ71SW 3","Castle Fraser","Recumbent Stone Circle (Neol/bronze Age)","371500","812530","ABERDEENSHIRE","ABERDEENSHIRE","CLUNY","NJ 7150 1253","http://canmore.org.uk/site/18719",
"18789","NJ72NW 1","Loanhead Of Daviot","Recumbent Stone Circle (Neol/bronze Age)","374770","828850","ABERDEENSHIRE","ABERDEENSHIRE","DAVIOT","NJ 7477 2885","http://canmore.org.uk/site/18789",
"18981","NJ72SW 12","East Aquhorthies","Recumbent Stone Circle (Neol/bronze Age)","373230","820790","ABERDEENSHIRE","ABERDEENSHIRE","INVERURIE","NJ 7323 2079","http://canmore.org.uk/site/18981",
"18989","NJ72SW 2","Balquhain","Cup Marked Stone (Prehistoric), Recumbent Stone Circle (Neol/bronze Age)","373500","824080","ABERDEENSHIRE","ABERDEENSHIRE","CHAPEL OF GARIOCH","NJ 7350 2408","http://canmore.org.uk/site/18989",
"19377","NJ80SE 16","Binghill","Recumbent Stone Circle (Neol/bronze Age)","385520","802370","ABERDEEN, CITY OF","ABERDEENSHIRE","PETERCULTER","NJ 8552 0237","http://canmore.org.uk/site/19377",
"19513","NJ81SE 11","Tyrebagger","Recumbent Stone Circle (Neol/bronze Age)","385950","813217","ABERDEEN, CITY OF","ABERDEENSHIRE","DYCE","NJ 85950 13217","http://canmore.org.uk/site/19513",
"19708","NJ82SW 2","Kirkton Of Bourtie","Cup Marked Stone (Prehistoric)(Possible), Recumbent Stone Circle (Neol/bronze Age)","380091","824883","ABERDEENSHIRE","ABERDEENSHIRE","BOURTIE","NJ 80091 24883","http://canmore.org.uk/site/19708",
"20538","NJ94NE 1","Loudon Wood","Recumbent Stone Circle (Neol/bronze Age)","396105","849740","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 96105 49740","http://canmore.org.uk/site/20538",
"20571","NJ94NE 4","Aikey Brae","Recumbent Stone Circle (Neol/bronze Age)","395880","847090","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 9588 4709","http://canmore.org.uk/site/20571",
"20746","NJ95SW 11","Auchmachar","Recumbent Stone Circle (Neol/bronze Age)","394850","850260","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 9485 5026","http://canmore.org.uk/site/20746",
"20754","NJ95SW 2","Strichen House","Recumbent Stone Circle (Neol/bronze Age)","393674","854479","ABERDEENSHIRE","ABERDEENSHIRE","STRICHEN","NJ 93674 54479","http://canmore.org.uk/site/20754",
"21099","NK05NW 2","Berrybrae","Recumbent Stone Circle (Neol/bronze Age), Beaker","402758","857161","ABERDEENSHIRE","ABERDEENSHIRE","LONMAY","NK 02758 57161","http://canmore.org.uk/site/21099",
"28012","NO11NW 11","Moncreiffe House","Cairn (Period Unassigned), Cup Marked Stone (Prehistoric), Henge (Neol/bronze Age), Metal Working Site (Period Unassigned), Stone Circle (Neol/bronze Age), Timber Circle (Neol/bronze Age), Unidentified Pottery (Neolithic)","313280","719330","PERTH AND KINROSS","PERTHSHIRE","DUNBARNEY","NO 1328 1933","http://canmore.org.uk/site/28012",
"36195","NO69NW 2","Glassel","Stone Circle (Neol/bronze Age)","364880","799660","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 6488 9966","http://canmore.org.uk/site/36195",
"36696","NO79SE 2","Clune Wood","Cairn (Period Unassigned), Recumbent Stone Circle (Neol/bronze Age)","379460","794950","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 7946 9495","http://canmore.org.uk/site/36696",
"36714","NO79SW 2","Eslie The Greater","Recumbent Stone Circle (Neol/bronze Age), Ring Cairn (Neol/bronze Age)","371710","791590","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 7171 9159","http://canmore.org.uk/site/36714",
"36748","NO79SW 8","The Nine Stanes, Garrol","Recumbent Stone Circle (Neol/bronze Age), Ring Cairn (Neol/bronze Age)","372330","791220","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 7233 9122","http://canmore.org.uk/site/36748",
"37186","NO99NW 1","Aquhorthies","Recumbent Stone Circle (Neol/bronze Age)","390180","796340","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-DEVENICK","NO 9018 9634","http://canmore.org.uk/site/37186",
"17999","NJ60NE 1","Tomnagorn","Recumbent Stone Circle (Neol/bronze Age)","365140","807750","ABERDEENSHIRE","ABERDEENSHIRE","MIDMAR","NJ 6514 0775","http://canmore.org.uk/site/17999",
"18006","NJ60NW 1","Old Kirk Of Tough","Recumbent Stone Circle (Neol/bronze Age)","362500","809280","ABERDEENSHIRE","ABERDEENSHIRE","CLUNY","NJ 6250 0928","http://canmore.org.uk/site/18006",
"36703","NO79SW 1","Eslie The Lesser","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","372250","792150","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 7225 9215","http://canmore.org.uk/site/36703",
"17641","NJ52NE 4","Ardlair","Cup Marked Stone(S) (Prehistoric), Recumbent Stone Circle (Neol/bronze Age)","355270","827940","ABERDEENSHIRE","ABERDEENSHIRE","KENNETHMONT","NJ 5527 2794","http://canmore.org.uk/site/17641",
